iter	RMSE
0	7.147456777
1	6.873482661
2	6.615293522
3	6.363442516
4	6.129686872
5	5.903688208
6	5.693063762
7	5.491540248
8	5.308285218
9	5.122365882
10	4.953944458
11	4.794644483
12	4.641841865
13	4.493381892
14	4.355928161
15	4.229960278
16	4.113816023
17	4.000333372
18	3.893207888
19	3.794713529
20	3.701694427
21	3.611403938
22	3.530293584
23	3.453521715
24	3.382430301
25	3.318593411
26	3.252464057
27	3.194630838
28	3.135668745
29	3.082154311
30	3.031119135
31	2.983991497
32	2.937785771
33	2.898913478
34	2.858758871
35	2.821957664
36	2.787248544
37	2.753313977
38	2.72270943
39	2.694179069
40	2.666793028
41	2.641442577
42	2.618299048
43	2.595874197
44	2.575578775
45	2.555664237
46	2.535772208
47	2.516704776
48	2.501315415
49	2.485944024
50	2.470532545
51	2.456471286
52	2.446249022
53	2.433601071
54	2.419785735
55	2.408067677
56	2.396458865
57	2.385463303
58	2.375490165
59	2.365931264
60	2.358462216
61	2.349708357
62	2.34094376
63	2.334574548
64	2.328109514
65	2.32114666
66	2.313869217
67	2.306397374
68	2.298283173
69	2.291543269
70	2.285160866
71	2.280048293
72	2.275337716
73	2.269393355
74	2.263854022
75	2.259658732
76	2.255202953
77	2.25127555
78	2.246144705
79	2.242448427
80	2.237405268
81	2.232077896
82	2.22788029
83	2.223863897
84	2.220895121
85	2.215416622
86	2.210867082
87	2.207521696
88	2.203878577
89	2.199277362
90	2.194296359
91	2.190987747
92	2.188281205
93	2.184780953
94	2.181931862
95	2.18043681
96	2.176278108
97	2.173917074
98	2.171374528
99	2.169413254
100	2.167001376
101	2.165002533
102	2.163598675
103	2.161488244
104	2.158176401
105	2.156300344
106	2.15432533
107	2.151378805
108	2.149234468
109	2.146430569
110	2.144342522
111	2.14159992
112	2.138861535
113	2.137567145
114	2.135611814
115	2.134959666
116	2.133916745
117	2.131559513
118	2.128325204
119	2.126255121
120	2.12411297
121	2.121890855
122	2.119409858
123	2.116553659
124	2.112921876
125	2.109113292
126	2.107355976
127	2.105543102
128	2.102857366
129	2.101750649
130	2.100752179
131	2.099506389
132	2.097677567
133	2.096184607
134	2.094784887
135	2.092453675
136	2.091850448
137	2.089483104
138	2.086910203
139	2.085347715
140	2.083770808
141	2.080583711
142	2.079302921
143	2.077939719
144	2.076861958
145	2.074946633
146	2.073311413
147	2.072223047
148	2.070514221
149	2.069685127
150	2.068631253
151	2.067876824
152	2.066193423
153	2.065332548
154	2.063894711
155	2.061996743
156	2.060368165
157	2.059041152
158	2.057589361
159	2.05633265
160	2.055580974
161	2.05359965
162	2.051983859
163	2.050888439
164	2.048995859
165	2.047379975
166	2.044445757
167	2.041520369
168	2.040261739
169	2.039469036
170	2.03706884
171	2.035041546
172	2.033408077
173	2.031642263
174	2.029883218
175	2.02819004
176	2.027423586
177	2.025078629
178	2.023906813
179	2.022520168
180	2.0204989
181	2.01884786
182	2.017828979
183	2.01672348
184	2.015268144
185	2.013968179
186	2.012286163
187	2.011506258
188	2.009073785
189	2.006886154
190	2.005567918
191	2.003261299
192	2.002174215
193	2.001083533
194	1.999719757
195	1.998923877
196	1.997267303
197	1.996069221
198	1.994873687
199	1.993738488
200	1.992583592
201	1.991764233
202	1.990629514
203	1.989799585
204	1.988441549
205	1.986345638
206	1.985135024
207	1.984291331
208	1.98317926
209	1.982062288
210	1.98141835
211	1.980161862
212	1.977781914
213	1.976250286
214	1.975243606
215	1.973508881
216	1.97196131
217	1.970077931
218	1.968559977
219	1.967768998
220	1.966674953
221	1.965666638
222	1.964144792
223	1.963152159
224	1.962746437
225	1.960587313
226	1.959662164
227	1.958378804
228	1.956638894
229	1.955481167
230	1.954725436
231	1.95347031
232	1.952577252
233	1.95093353
234	1.949899916
235	1.94909469
236	1.947763211
237	1.946649665
238	1.94457572
239	1.943193803
240	1.942143158
241	1.941460385
242	1.940665321
243	1.939806014
244	1.938978479
245	1.937802035
246	1.936616721
247	1.935503059
248	1.934470561
249	1.9327471
250	1.931174583
251	1.929922345
252	1.929087881
253	1.927512677
254	1.925554922
255	1.924493311
256	1.923620667
257	1.922405988
258	1.921187796
259	1.920375505
260	1.919129858
261	1.918234144
262	1.917311383
263	1.916904352
264	1.915286639
265	1.914082854
266	1.913505834
267	1.912483612
268	1.911320996
269	1.910493472
270	1.909184227
271	1.908647997
272	1.908239284
273	1.907315967
274	1.906158662
275	1.904538974
276	1.903582001
277	1.901810538
278	1.900959431
279	1.899543742
