iter	Passed	Remaining
0	3	3320
1	5	2624
2	7	2405
3	9	2270
4	11	2304
5	13	2252
6	15	2200
7	18	2264
8	20	2260
9	22	2230
10	25	2263
11	27	2230
12	29	2206
13	31	2185
14	33	2172
15	35	2161
16	37	2150
17	39	2146
18	41	2139
19	43	2127
20	45	2129
21	47	2128
22	49	2117
23	51	2107
24	53	2090
25	55	2077
26	57	2066
27	59	2052
28	60	2037
29	62	2027
30	64	2014
31	67	2041
32	69	2028
33	71	2018
34	72	2010
35	75	2008
36	76	1997
37	78	1990
38	80	1984
39	82	1976
40	84	1970
41	85	1960
42	87	1954
43	89	1945
44	91	1938
45	93	1929
46	94	1925
47	96	1918
48	98	1911
49	100	1902
50	101	1897
51	103	1893
52	105	1887
53	107	1884
54	109	1877
55	111	1872
56	112	1868
57	114	1865
58	116	1860
59	118	1854
60	120	1852
61	122	1845
62	123	1842
63	125	1835
64	127	1829
65	128	1824
66	130	1820
67	132	1816
68	134	1814
69	136	1809
70	137	1805
71	139	1801
72	141	1797
73	143	1794
74	145	1791
75	147	1789
76	148	1784
77	150	1779
78	152	1775
79	154	1771
80	155	1769
81	157	1767
82	159	1763
83	161	1760
84	163	1756
85	164	1753
86	166	1750
87	168	1747
88	170	1745
89	172	1742
90	174	1739
91	175	1736
92	177	1732
93	179	1729
94	181	1725
95	182	1721
96	184	1718
97	186	1716
98	188	1712
99	190	1716
100	192	1714
101	194	1711
102	196	1707
103	197	1703
104	199	1702
105	201	1703
106	203	1699
107	205	1697
108	207	1696
109	209	1693
110	211	1691
111	213	1690
112	214	1687
113	216	1684
114	219	1687
115	221	1691
116	223	1687
117	225	1686
118	227	1685
119	229	1682
120	231	1680
121	233	1678
122	234	1675
123	236	1672
124	238	1670
125	240	1668
126	242	1667
127	244	1664
128	246	1661
129	248	1660
130	249	1657
131	251	1654
132	253	1650
133	254	1646
134	256	1643
135	258	1641
136	260	1638
137	261	1635
138	263	1632
139	265	1629
140	267	1627
141	268	1624
142	270	1621
143	272	1619
144	274	1616
145	275	1614
146	277	1611
147	279	1609
148	281	1607
149	283	1604
150	284	1601
151	286	1597
152	288	1594
153	289	1591
154	291	1589
155	293	1587
156	295	1584
157	296	1582
158	298	1580
159	300	1577
160	302	1574
161	303	1571
162	305	1570
163	307	1568
164	309	1565
165	311	1563
166	312	1560
167	314	1558
168	316	1556
169	318	1554
170	320	1552
171	321	1549
172	323	1547
173	325	1545
174	327	1542
175	329	1541
176	330	1537
177	332	1535
178	334	1532
179	336	1531
180	338	1531
181	340	1530
182	342	1527
183	343	1524
184	345	1522
185	347	1520
186	349	1517
187	350	1515
188	352	1513
189	354	1510
190	356	1508
191	358	1507
192	359	1504
193	361	1501
194	363	1499
195	365	1497
196	366	1495
197	368	1493
198	370	1490
199	372	1488
200	373	1486
201	375	1483
202	377	1481
203	379	1478
204	381	1477
205	383	1477
206	385	1475
207	386	1473
208	388	1471
209	390	1469
210	392	1467
211	394	1465
212	396	1463
213	397	1461
214	399	1458
215	401	1456
216	403	1455
217	405	1453
218	406	1450
219	408	1448
220	410	1445
221	411	1443
222	413	1441
223	415	1439
224	417	1436
225	418	1434
226	420	1432
227	422	1431
228	424	1428
229	426	1426
230	427	1424
231	429	1422
232	431	1420
233	433	1418
234	434	1415
235	436	1413
236	438	1412
237	440	1410
238	442	1408
239	444	1406
240	445	1403
241	447	1401
242	449	1399
243	450	1396
244	452	1394
245	454	1391
246	455	1389
247	457	1387
248	459	1385
249	461	1383
250	462	1381
251	464	1379
252	466	1376
253	468	1374
254	470	1373
255	471	1371
256	473	1368
257	475	1366
258	476	1364
259	478	1362
260	480	1360
261	482	1358
262	484	1356
263	485	1354
264	487	1352
265	489	1350
266	491	1348
267	492	1345
268	494	1344
269	496	1341
270	497	1339
271	499	1337
